step,reward
2000,160.3864
4000,120.8504
6000,146.2964
8000,133.7814
10000,134.9012
12000,154.1153
14000,139.3202
16000,151.967
18000,155.4654
20000,154.6555
22000,160.5259
24000,135.908
26000,144.8469
28000,149.1557
30000,141.3498
32000,149.509
34000,157.8989
36000,162.8626
38000,167.6416
40000,144.8723
42000,156.6111
44000,140.6336
46000,151.4236
48000,159.6525
50000,166.9611
52000,150.9596
54000,153.1199
56000,145.2405
58000,150.5097
60000,155.6854
62000,150.5479
64000,157.1892
66000,156.5965
68000,150.1214
70000,153.215
72000,161.7024
74000,148.5561
76000,142.7562
78000,159.8489
80000,152.6317
82000,164.7659
84000,161.1052
86000,154.0507
88000,159.0292
90000,151.4275
92000,154.5694
94000,155.7627
96000,148.6626
98000,158.1532
100000,158.4181
102000,158.7946
104000,152.9737
106000,164.468
